@relation GestureTraining

@attribute MFCC_0 numeric
@attribute MFCC_1 numeric
@attribute MFCC_2 numeric
@attribute MFCC_3 numeric
@attribute MFCC_4 numeric
@attribute MFCC_5 numeric
@attribute MFCC_6 numeric
@attribute MFCC_7 numeric
@attribute MFCC_8 numeric
@attribute MFCC_9 numeric
@attribute MFCC_10 numeric
@attribute MFCC_11 numeric
@attribute MFCC_12 numeric
@attribute MFCC_13 numeric
@attribute MFCC_14 numeric
@attribute MFCC_15 numeric
@attribute MFCC_16 numeric
@attribute MFCC_17 numeric
@attribute MFCC_18 numeric
@attribute MFCC_19 numeric
@attribute MFCC_20 numeric
@attribute MFCC_21 numeric
@attribute MFCC_22 numeric
@attribute MFCC_23 numeric
@attribute MFCC_24 numeric
@attribute MFCC_25 numeric
@attribute MFCC_26 numeric
@attribute MFCC_27 numeric
@attribute MFCC_28 numeric
@attribute MFCC_29 numeric
@attribute MFCC_30 numeric
@attribute MFCC_31 numeric
@attribute MFCC_32 numeric
@attribute MFCC_33 numeric
@attribute MFCC_34 numeric
@attribute MFCC_35 numeric
@attribute MFCC_36 numeric
@attribute MFCC_37 numeric
@attribute MFCC_38 numeric
@attribute MFCC_39 numeric
@attribute MFCC_40 numeric
@attribute MFCC_41 numeric
@attribute MFCC_42 numeric
@attribute MFCC_43 numeric
@attribute MFCC_44 numeric
@attribute MFCC_45 numeric
@attribute MFCC_46 numeric
@attribute MFCC_47 numeric
@attribute MFCC_48 numeric
@attribute MFCC_49 numeric
@attribute MFCC_50 numeric
@attribute MFCC_51 numeric
@attribute MFCC_52 numeric
@attribute MFCC_53 numeric
@attribute MFCC_54 numeric
@attribute MFCC_55 numeric
@attribute MFCC_56 numeric
@attribute MFCC_57 numeric
@attribute MFCC_58 numeric
@attribute MFCC_59 numeric
@attribute MFCC_60 numeric
@attribute MFCC_61 numeric
@attribute MFCC_62 numeric
@attribute MFCC_63 numeric
@attribute MFCC_64 numeric
@attribute MFCC_65 numeric
@attribute MFCC_66 numeric
@attribute MFCC_67 numeric
@attribute MFCC_68 numeric
@attribute MFCC_69 numeric
@attribute MFCC_70 numeric
@attribute MFCC_71 numeric
@attribute MFCC_72 numeric
@attribute MFCC_73 numeric
@attribute MFCC_74 numeric
@attribute MFCC_75 numeric
@attribute MFCC_76 numeric
@attribute MFCC_77 numeric
@attribute @@class@@ {bottomright,bottomleft,topleft,topright}

@data
2994.657496,38.311598,134.928212,-36.406332,126.982586,-101.672127,89.885302,-69.206432,78.971513,-99.15501,89.191707,-96.947395,78.390019,-91.107539,84.113236,-86.72227,81.589788,-72.183087,63.314947,-56.954383,56.119725,-47.926923,39.20764,-30.703453,20.828175,-7.682851,-708.877494,159.381436,139.813901,35.246135,218.184979,-146.740885,154.350523,-44.901572,152.309424,-137.958546,109.31767,-134.067249,95.201695,-133.130504,119.989503,-93.701627,112.268093,-97.522392,81.88665,-76.174428,74.687264,-55.144623,50.3717,-28.652577,22.647465,-13.906322,3703.534991,-121.069839,-4.885689,-71.652467,-91.202393,45.068758,-64.465221,-24.30486,-73.337912,38.803537,-20.125963,37.119854,-16.811676,42.022965,-35.876267,6.979357,-30.678305,25.339305,-18.571703,19.220045,-18.567539,7.2177,-11.16406,-2.050876,-1.81929,6.223471,bottomleft
1286.084549,257.12299,17.240838,74.230889,176.021795,-138.094651,73.412365,-68.420485,115.756936,-142.027593,91.055649,-83.051174,103.48677,-116.779697,85.537292,-59.559981,78.148985,-82.392117,67.420318,-52.272461,51.762645,-51.497483,40.912279,-25.754788,17.243793,-13.558313,-977.672453,-22.275384,40.236709,68.937792,170.733828,-80.507913,111.329539,-17.443598,88.092169,-81.756555,58.170952,-78.544102,69.95547,-74.936978,72.151707,-54.127882,69.60259,-64.352437,59.813649,-36.743175,41.843047,-36.138904,32.109882,-15.579229,16.464912,-11.075902,2263.757002,279.398374,-22.995871,5.293097,5.287967,-57.586738,-37.917174,-50.976887,27.664767,-60.271038,32.884696,-4.507072,33.531301,-41.84272,13.385584,-5.432099,8.546395,-18.039681,7.606669,-15.529286,9.919598,-15.35858,8.802397,-10.175559,0.778881,-2.482411,bottomleft
1893.340028,203.604515,-0.164901,63.973432,153.660286,-160.791198,54.021764,-58.611416,118.471255,-163.905679,85.384895,-93.423811,100.473121,-117.64076,92.201131,-61.186467,78.179352,-81.850508,75.039,-48.786455,57.493506,-57.969801,41.755731,-24.539761,20.156956,-16.742637,-907.218858,52.817754,78.17258,73.536852,194.448251,-88.926981,89.071732,-20.662283,111.823716,-115.651049,65.868452,-80.324053,67.814431,-106.619896,74.776166,-55.153547,76.75886,-72.543646,66.236998,-46.275718,47.434948,-42.272893,31.129803,-18.375493,17.49265,-11.95015,2800.558886,150.786761,-78.337481,-9.56342,-40.787965,-71.864217,-35.049968,-37.949133,6.647539,-48.254629,19.516443,-13.099758,32.65869,-11.020864,17.424965,-6.03292,1.420492,-9.306861,8.802002,-2.510737,10.058558,-15.696907,10.625928,-6.164267,2.664306,-4.792487,bottomleft
1419.060074,389.026965,-40.960712,166.348955,351.86383,-229.16056,119.014442,-72.188464,201.029135,-258.896973,157.973997,-137.914673,156.038922,-191.337595,134.374286,-105.153808,126.761702,-140.331436,117.853505,-81.816343,88.288398,-82.713524,63.111661,-40.83167,33.391349,-24.856152,-418.187142,208.458187,129.358941,123.339163,287.851524,-169.354204,149.29751,-54.142242,169.519396,-159.652241,146.566108,-134.651165,116.287908,-156.956917,120.196994,-98.559751,123.239653,-101.750119,105.141141,-73.610495,76.692664,-68.600209,54.086609,-32.160482,33.28057,-18.294435,1837.247216,180.568779,-170.319653,43.009792,64.012306,-59.806356,-30.283068,-18.046223,31.50974,-99.244732,11.40789,-3.263508,39.751014,-34.380679,14.177292,-6.594058,3.52205,-38.581318,12.712364,-8.205848,11.595734,-14.113315,9.025051,-8.671188,0.110779,-6.561716,bottomleft
1721.342175,246.107161,42.92603,27.76629,145.311045,-156.662433,91.91528,-73.739176,107.348945,-136.09764,90.919805,-87.619602,83.69698,-103.20621,80.741921,-66.964418,71.811709,-75.57536,69.62133,-54.916731,52.149381,-49.303699,42.846775,-30.034595,22.399364,-10.246243,-1029.481314,46.685774,111.188533,27.333121,165.867981,-82.120517,98.54624,-25.972898,95.826444,-97.668858,80.885829,-72.523377,68.82742,-82.42102,78.712617,-58.980329,83.036772,-57.587998,67.210374,-43.547523,47.926566,-39.045068,33.86752,-19.936766,20.16805,-10.860509,2750.823488,199.421387,-68.262503,0.433169,-20.556936,-74.541916,-6.63096,-47.766278,11.522501,-38.428782,10.033975,-15.096225,14.869559,-20.785189,2.029304,-7.984089,-11.225063,-17.987362,2.410956,-11.369208,4.222815,-10.258631,8.979255,-10.09783,2.231314,0.614266,bottomleft
1424.322277,189.012792,-88.279994,94.945454,183.279381,-134.752195,69.644729,-51.900421,146.80477,-165.271015,110.528067,-96.339576,125.703927,-134.555781,96.847943,-58.08944,81.76785,-85.502697,74.787262,-56.436803,60.767003,-59.72241,51.908343,-29.298034,21.210903,-18.117672,-942.493869,69.459181,122.736242,66.326767,189.535397,-73.604473,100.442707,-38.666329,103.775675,-93.414352,77.165502,-75.449768,75.719859,-96.356853,74.911461,-56.912371,80.264421,-63.557935,72.358681,-42.142811,46.679427,-41.614833,34.1233,-18.083782,16.700386,-12.957704,2366.816146,119.553611,-211.016235,28.618688,-6.256016,-61.147722,-30.797978,-13.234092,43.029094,-71.856662,33.362565,-20.889808,49.984068,-38.198929,21.936482,-1.177069,1.503429,-21.944762,2.428581,-14.293993,14.087577,-18.107577,17.785044,-11.214252,4.510518,-5.159968,bottomleft
1568.97434,329.063574,-18.731896,93.668828,242.175474,-185.007222,73.13915,-65.515579,160.405303,-194.193985,109.675384,-123.987328,133.224342,-153.392857,96.395584,-66.339677,97.680518,-112.373348,86.258691,-67.592497,69.17736,-69.697556,49.933884,-29.630572,20.53724,-13.774788,-825.104689,97.002371,109.046138,103.874946,231.051073,-100.15763,103.85877,-50.896289,118.872547,-133.852679,78.253351,-97.590434,98.34843,-115.854365,89.537879,-68.618411,89.669727,-91.94337,76.745538,-46.670424,62.690345,-50.109848,39.8053,-23.083586,24.476587,-13.976649,2394.079029,232.061203,-127.778034,-10.206118,11.124401,-84.849592,-30.71962,-14.61929,41.532756,-60.341305,31.422033,-26.396894,34.875912,-37.538491,6.857706,2.278734,8.010791,-20.429979,9.513153,-20.922073,6.487014,-19.587707,10.128585,-6.546986,-3.939348,0.201861,bottomleft
1405.518648,331.251844,-50.908851,76.814965,162.798768,-198.456793,92.083465,-89.524014,116.595034,-171.865829,110.851484,-108.188011,109.763203,-127.146086,89.449894,-83.906911,97.048405,-92.935832,77.040632,-63.283569,63.21053,-59.11565,43.46632,-29.830145,22.640617,-16.803631,-898.344114,84.030435,78.21715,47.911222,176.489768,-113.855805,88.943829,-21.530714,95.240279,-96.918857,92.173216,-81.199742,71.845741,-99.261199,66.137198,-79.073455,74.758325,-66.491252,66.540506,-47.535406,54.4817,-40.258976,35.757765,-21.881382,16.71599,-12.461671,2303.862762,247.22141,-129.126002,28.903744,-13.691,-84.600987,3.139637,-67.993299,21.354754,-74.946972,18.678268,-26.988269,37.917462,-27.884886,23.312696,-4.833456,22.29008,-26.444579,10.500126,-15.748163,8.72883,-18.856674,7.708555,-7.948762,5.924627,-4.34196,bottomleft
2498.035738,-6.229121,71.680362,-20.518081,85.477848,-89.586356,66.699512,-62.073374,58.855558,-80.413043,56.848118,-67.56775,46.154864,-69.408517,56.822685,-56.375431,54.02436,-52.145523,50.917905,-47.088241,39.0112,-32.123499,30.522386,-21.927947,16.954531,-7.266226,-927.949819,31.285676,127.559906,60.155744,186.518168,-81.944306,102.996024,-12.893653,105.002816,-116.677295,72.650067,-73.552762,62.59402,-99.832534,86.296705,-56.970646,71.382985,-63.36944,72.025626,-47.451319,47.27873,-37.475812,35.1414,-29.461396,18.259249,-6.306832,3425.985557,-37.514797,-55.879544,-80.673825,-101.040321,-7.64205,-36.296513,-49.179721,-46.147257,36.264252,-15.801949,5.985012,-16.439156,30.424017,-29.474019,0.595215,-17.358625,11.223917,-21.107722,0.363078,-8.26753,5.352313,-4.619014,7.53345,-1.304718,-0.959394,bottomleft
1489.690686,282.552669,-16.373171,83.155392,192.374389,-153.724738,61.836695,-62.928584,143.392177,-170.204822,102.988782,-98.774401,126.681945,-135.419888,87.468858,-59.535316,84.223002,-87.109769,73.882373,-58.311577,61.011678,-61.356652,45.860685,-29.119499,20.549347,-14.540767,-1012.957534,38.848373,97.601164,73.035524,207.037198,-75.233657,100.489164,-27.223988,114.095459,-112.838402,55.316665,-74.46893,87.289302,-105.21878,77.081458,-57.85723,78.163957,-74.062928,65.625374,-39.489932,51.589712,-42.126043,33.444739,-18.349276,18.104489,-14.955669,2502.64822,243.704296,-113.974335,10.119868,-14.662809,-78.491081,-38.652469,-35.704596,29.296718,-57.36642,47.672117,-24.305471,39.392643,-30.201108,10.3874,-1.678085,6.059046,-13.046841,8.256999,-18.821646,9.421966,-19.230609,12.415946,-10.770223,2.444858,0.414902,bottomleft
